SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,KEYWORD_POSITIVE,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P10,S31,24462314522,1,P,잘받았습니다,쫀쫀한느낌 잘사용하겠습니다,주름개선 효과있었으면 좋겠네요,실처럼늘어나 조금불편하다가도 금방흡수되어괜찮인요,티비에 자주 나왔고 댓글도 좋아서 사봤는데 역시 발림이 너무 부드럽고 촉촉해 놀랐어요실처럼 늘어진 사진은 봤는데 감당이 안될정도로 마구 늘어나서 처음에 너무 놀랐어요모짜뢜라 치즈인줄 알았어요느낌이 너무 좋고 바르니 수분감도 가득해서 너무 좋아요,,,,,
N,P10,S31,24462314522,0,N,모르겠,효과는,주름,목주름이,촉촉해요,3.1,2.77,2.43,2.24,2.02
N,P10,S31,24462314522,1,N,일주일째인데 아직 효과는 잘 모르겠어요,처음에 촉감은 실처럼 늘어나는 제형인데 막상 발라보면 끈적임은 없어요신기하네요,2통짼데 바를땐 몰랐는데 1통 다바르고나서 까먹고있다가 언뜻 거울봤는데 이상해서 살펴보니까 깊은목주름이 조금 채워져서 연해졌더라구요,써보네요달팽이진액 같은 신기한 제형이라 바를때마다 조심조심조심 하게되네요치즈처럼 늘어나고 찐득한그런 느낌이예요,엄청 부드러워요,,,,,
N,P07,S01,28401379561,0,P,발림성,커버,마스크에,촉촉하고,비비,2.35,1.9,1.54,1.53,1.32
N,P07,S01,28401379561,1,P,부드럽지만 마스크에 코 외에는 거의 묻지 않네요,양은많지않으지만오래 쓸수잇을것같아요,발림성이 좋고 유분기가 있을 때 바르면더 좋을 것 같네요,썬크림 대신으로 비비크림을 선택했는데 발림성이 좋으네요,잘쓸께요,,,,,
N,P07,S01,28401379561,0,N,커버,바르고,촉촉하,지속,좋아하,2.0,1.74,1.1,1.05,1.0
N,P07,S01,28401379561,1,N,새로나온 리피덤인줄 알고 컨튜어밤 샀다가 다시 주문합니다,쓰다보니 별로인듯 합니다색도 약간 어둡고 기초단계 바르고 선크림 바르고 비비바르면 약간 밀립니다,감사합니다,포장상태 성의없음,홈쇼핑에서 팔길래 1개짜리검색해서써보려고샀어요,,,,,
N,P10,S29,25486379522,0,P,촉촉하고,가성비,있어요,좋습니다,가격,6.5,5.94,5.34,4.24,4.11
N,P10,S29,25486379522,1,P,향도 무난하고 발림성도 좋아서 항상 잘 사용하고 있어요,그전에 사용하던 보라색보다 좀더 꾸덕한 느낌이에요,발림성과 흡수성이 더 좋아진 듯 해요,저렴하게 잘 구매했습니다,그리고 앞쪽이 고무로 되어 있어 바로 짜서 바르기도  편하고 좋아요,,,,,
N,P10,S29,25486379522,0,N,촉촉하고,바르고,효과,전체,아이크,1.59,1.57,1.37,1.24,1.2
N,P10,S29,25486379522,1,N,일단 만족합니다,향이 좋아요,시즌 나올때마다 어머니 사드리고 있어요,피부는촉촉해진듯 눈가주름도요 근데 목주름만은아니되나봐요,한달후기 빨강거쓰다가 이걸써봣는데 좋네요,,,,,
N,P07,S41,25535032523,0,P,노세범,저렴하게,있어요,만족,기름,7.96,6.41,5.72,4.31,4.27
N,P07,S41,25535032523,1,P,좋아요,마스크 속 땀나는 피부를 중간에 살짝 눌러주기도 좋고 싹 바르고 마스크 착용하면 종일 뽀송해요,많은양보다는 가볍게 발라야되겠어요하루종일 화장이 다크닝없이 유지되서 편하고 좋아요,항상 쓰던거라 잘쓰고 있어요,저희딸이랑 앞머리 기름 없애는 용도로 잘쓰고있어요,,,,,
N,P07,S41,25535032523,0,N,노세범,이니스프리,가성비,기름,말이,11.48,3.27,2.1,1.71,1.57
N,P07,S41,25535032523,1,N,근데 양 조절이 아쉬워요,앞머리에 쓰려고 샀어요,구멍으로나오는게 소량이라 퍼프에 그 위치에만 가루가 묻어나오는게 조금 아쉽습니다,사용하는거라 좀 걱정했는데 좋아요,아침에 브러쉬로 얼굴에 노세범 파우더 안 발라주면 불안함,,,,,
N,P06,S28,28400996558,0,P,색상,데일리로,발색,색이,배송도,4.36,3.34,2.17,2.12,2.04
N,P06,S28,28400996558,1,P,생각보다 색상이 진해요,잘발리고 색상이 금방 잘 나오네요,넘 이쁘구 색도 다양하고 잘샀어요,좋아요,근데 여러 겹 쌓으니깐 자연스러운 맛은 있네요색감은 정말 이쁜 것 같아요발색력은 아쉽지만 나름 은은한 펄감 들어간 색도 이뿌고전반적으로 나쁘지 않아요,,,,,
N,P06,S28,28400996558,0,N,좋아,13,컬러,색상,쿨톤,1.66,1.37,1.17,0.97,0.95
N,P06,S28,28400996558,1,N,가루날림은 브러쉬마다 다르겠지만 제 브러쉬에서는 조금 심했어요,화면엔 핑크핑크 러블리 할것같았는데 조금 다른듯해서 잘못왔나 다시 확인 반품할까 고민하다 그냥 써보기로 했네요,분명 시간이 충분하게 있으셨을텐데 서비스 고객응대가 너무 아쉽네요,쿨톤 정석이라길래 샀는데 생각보다 저랑은 안 어울리네요,쿨톤인 저에게 모두 딱 맞는 색들이어서 너무 좋아요,,,,,
N,P07,S01,7441148520,0,P,만족합니다,감사합니다,발림성,좋습니다,저렴하게,2.2,2.09,1.82,1.77,1.69
N,P07,S01,7441148520,1,P,엄마가 좋아하세요,커버력좋아요,피부에 잘먹고 완전좋아요,발림성이 생각보다 좋아요,배송도 빠르고 조아요,,,,,
N,P07,S01,7441148520,0,N,비비,,,,,1.0,,,,
N,P07,S01,7441148520,1,N,이게 첨에 바르면 색이 어둡고 잿빛이 좀 도는데 시간이 지나면 피부에 밀착이 촥 되고 색도 피부색처럼 자연스러워져서 좋습니다,이 제품만 세일을  잘 안 해서   항상  아쉬웠는데  여기서  저렴하게  잘 샀어요,뭐가 좋은지모르겠음,비비 항상 여기 제품으로 사용하는데 이번에 또 다 사용해서 또 사게 되었네요,,,,,,
N,P07,S01,7509969473,0,P,커버력,빠르,추천,만족,,0.99,0.89,0.65,0.52,
N,P07,S01,7509969473,1,P,엄마가 샘플써보고 좋다하셔서 선물로 사드렸는데 배송도 빠르고 포장도 잘 해주셨어요,잘받았습니다,만족합니다,좋은거 같습니다,추천받아서 구매했어요,,,,,
N,P07,S01,7509969473,0,N,있어요,커버력은,샤넬,때문,신경,2.71,1.74,1.37,1.08,1.0
N,P07,S01,7509969473,1,N,또구매햇어요,마스크 때문에 베이스 신경 안쓰려다가도 묻어남 때문에 은근 신경쓰여서 아예 자연스럽게 연출되는 제품을 찾다가 cc크림을 골라봤어요,,,,,,,,
N,P06,S26,82389471883,0,P,클리오,재구매,좋습니다,만족,저렴하게,5.91,5.56,5.14,4.87,4.64
N,P06,S26,82389471883,1,P,좋아하는 색이에요,잘 안번져요,늘 쓰던거라 재구매 했습니다,좋아요,워터프루프라 지울때 좀 더 꼼꼼히 지우는 노력이 필요하네요,,,,,
N,P06,S26,82389471883,0,N,클리오,지속력,부드럽게,생각보다,아쉽,2.48,1.83,1.7,1.37,1.33
N,P06,S26,82389471883,1,N,진짜 안지으져요,타제품 쓰다 단종되서 평이 좋은 클리오 사봤는데 만족합니다,지지도 않고지워지지 않고딱입니다,붓끝이 첨에쓸때 꼭 스티로폼처럼 딱딱하니 잘발려지지도않고 아이섀도우후매트한상태에서 발랐는데도 눈주름사이로 아이라인이번져서 몇번이고 수정했어요,쓰으윽 부드럽게 잘발려서 피부자극도 없고 짱입니다,,,,,
N,P07,S01,15402508728,0,P,감사합니다,만족합니다,저렴하게,배송도,비비,4.54,4.3,2.79,2.71,1.88
N,P07,S01,15402508728,1,P,늘쓰는제품입니다,만족합니다,근데 색은 기존에 썼던 빨간색비비가 더 잘 맞네요,조아요싸게샀어요,잘 쓰겠습니다,,,,,
N,P07,S01,15402508728,0,N,커버력,비비,좋아,샀어,,1.97,1.87,1.84,0.94,
N,P07,S01,15402508728,1,N,비비는 유통기한 길고 미샤 비비 이게 피부에 잘 맞고 커버력도 좋고 드름같이 덜 커버되는건 당연 컨실러 써야하고 피부표현이 좋아요,색상이 21호 치고는 좀 어두운편인듯 하네요핑크톤은 맘에 듭니다,샘플이라도 써봤다면 안샀을 거에요몇년간 쓰던 진주알 맑은 비비 매트가 단종이라 고민끝에 이걸로 사봤는데 그냥 돈 버렸어요피부가 밝고 붉은 편이라 13호 써야 맞는데 13호까지 나오는 비비가 많이 없어서 알아보던중 주문한 건데 커버력 아예  커버력 광고 문구는 진짜 오버네요,기초화장하고 썬크림 다음에 바로 발라주어도 발림성좋고 잘 안지워져요,항상 믿고주문합니다,,,,,
N,P09,S21,82413640414,0,P,재구매,커서,만족,시원,좋습니다,8.91,7.97,7.89,6.9,6.7
N,P09,S21,82413640414,1,P,편하고 너무좋네요,촉촉하고 시원하고 톤보정도 꽤 되는 군요,시원하고 좋네요,편해서좋네요,만족합니다,,,,,
N,P09,S21,82413640414,0,N,좋은데,끈적임,리필,본품,없어요,2.42,2.19,1.85,1.77,1.75
N,P09,S21,82413640414,1,N,작긴 참 작아요,미니는 가방에 쏘옥 빅은 몇번만 두드려도 끝 사이즈가 너무 맘에들어요,톤보정도 되고 뜨는것도 없고밀착력도 좋고 유분감도 많지 않고촉촉해서 잘사용하고 있어요,리필까지사서  잘삿나햇는디  저는 트러블이올라와 별한개 뺏어요,기본 팩트보다 확실히 크고 손바닥 만해요,,,,,
N,P07,S01,83106058955,0,P,있어요,생각보다,발림성,색상,밀착력,2.39,2.12,1.81,1.61,1.49
N,P07,S01,83106058955,1,P,색상도 많이 어둡지 않아서 좋고 발림성도 좋네요,클래식도  써보고 싶네요,지인이 워낙 유명하다며 추천해준 재생비비 스킨셀러언니 상담도 잘해주셔서 구매했네요,발림성도 좋고 지속력도 만족합니다,홈쇼핑 보고 많이 샀다가 후회할까봐 단품하나 먼저 사봤는데대만족입니다,,,,,
N,P07,S01,83106058955,0,N,커버력이,좋아,,,,2.14,0.56,,,
N,P07,S01,83106058955,1,N,발랐을 땐 좀 어둡다고 생각했는데 시간이 지나면 자연스러운 피부톤으로 바뀌는 거 깉아요발림성도 촉촉하니 조나요,가볍고 좋아요,15ml에 이 가격이군요,좋아지는거라고 하니까 그런가부다 하고 딱히    일부러 소량 구매했는데 잘한거 같아요,음 괜찮은데 저는막찰떡같이잘맞진않아요,,,,,
N,P07,S01,8895014293,0,P,만족합니다,감사합니다,비비,커버,좋습니다,4.38,3.38,2.65,2.62,2.49
N,P07,S01,8895014293,1,P,항상 쓰던제품 믿고구매했어요,항상 쓰는 제품이에요,중간에 다른거 쓰다가도 다시 돌아와요 촉촉하고 커버력도 중간이상 피부 좋아보여요,100년갔으면좋겠어요제가120살까지 살거거든요그때까지 유지부탁드립니다,피부 레이저 받고 병원에서 추천받아 이지듀를 처음,,,,,
N,P07,S01,8895014293,0,N,트러블,커버력,,,,1.5,1.08,,,
N,P07,S01,8895014293,1,N,기존꺼가 단종되고 더 비싸지고 용량은 적어졌어요,추천받았는데 개인적으로는 저랑은 좀안맞는거같아요발림성이 아쉬웠어요,계속 쓰던거라 만족하고 쓰고 있음,역시 이지듀입니다,배송도 빠르고 발림성은 좋아요,,,,,
N,P09,S17,27778415522,0,P,편하고,바르기,좋습니다,만족,수시로,4.08,3.05,2.57,2.22,2.17
N,P09,S17,27778415522,1,P,강추합니다,너무 만족합니다,가격대비 품질이 좋아요,간편해서 좋아요,배송도 빠르고 맘에 들어요,,,,,
N,P09,S17,27778415522,0,N,좋아,아쉽네요,얼굴에,끈적이지,바르기,2.15,1.87,1.83,1.71,1.47
N,P09,S17,27778415522,1,N,양이 적어서 아쉽네요,택배기사님이 던져서 그런제 제품이 내용물이 찌그러져서 도착했네요,그냥 멀티밤 사용할때는 너무 끈적여서 불편했는데 끈적이지 않아서 좋습니다가격이 좀 비싸서 별하나 뺐습니다,더울때는 싫었는데 이건 여름에 잘쓸것같아요저번에 세트로 사고 후기도 남겼는데후기사은품 안주던데  그것도 추첨인가요그런말없어서 기대했다가 후회하고있어요,부드럽게 발리고 발랐을때 매트한 느낌있습니다시간지나면 얼굴이 건조한데 만지면 기름기 올라와있어요,,,,,
N,P07,S01,22849759426,0,P,감사합니다,발림성,써보고,커버력,좋습니다,3.29,2.0,1.69,1.63,1.61
N,P07,S01,22849759426,1,P,어머님께서 씨씨크림 필요하다셨는데 너무 좋네요,너무 하예서 좀 그랬는대 색이피부에 따라 맞춰 자는거 같구요여름이고 제가 지성이라 그런지살짝 끈적이는 느낌이 드네요,굿뜨정말 감사합니다,커버력은 비비보다 떨어지지만 선크림 안바르고 한번에 해결하면서도 피부가 촉촉해서 좋아요,헤디슨 비비 만 썻는데 샘플 써보고 화사 하니 섞어 써면 좋을거 같네요,,,,,
N,P07,S01,22849759426,0,N,좋아,,,,,1.53,,,,
N,P07,S01,22849759426,1,N,좋아요,얼굴이 하야지니 좋아요,와우 샘플 많이주셔서 감사합니당cc크림은 동생줘야겠어요,피부에 광이나요,마스크착용으로 인해 화장은 어렵고 하야타크림을 킵해놓곤 이 크림도 혹해서 구매했어요,,,,,
N,P07,S01,11113595568,0,P,좋습니다,만족,비비,있어요,생각보다,4.52,3.29,3.06,2.3,2.24
N,P07,S01,11113595568,1,P,예전에 써보고 재구매입니다,늘 쓰던 제품인데  면세에서만 사다가 이번에 직구로 구매했어요,아주아주 좋아요,이거 물건이네요확실히 유럽보다 비싼감은 잇지만 어쩔수 없죠근데 촉촉하고 좋아요,예전 피구관리실에서 9만원에 판매하던 제품반가운 마음에  오랫만에 구입해서 잘 사용하고 있습니다,,,,,
N,P07,S01,11113595568,0,N,트러블,커버,여xx,재구,비비,1.71,1.47,1.14,1.02,0.89
N,P07,S01,11113595568,1,N,파데 쓰면 피부가 숨을 못쉬는데 이건 후후후 최고,평소 쓰던거라 구매했어요다만 마스크 쓰다보니 묻어남이 심해요,그래도 전 민감한 피부에 트러블이 별로 나지 않아서 꾸준히 쓰고싶어요,써봐야 알겠지만 겉에서 부터 좋은 향기가 나요,어렸을땐 좀 어두운가싶었는데 나이가드니 아주 좋다고 맛사지실 원장님들이 칭찬하던 얘기가 무슨말인지 알것같아요제 기준으로 아주 화사해지는건 아니지만참고로 제피부가 하얀편임 잡티들을 적당히가려주니 피부가 정돈되어 보여요,,,,,
N,P07,S01,14760725899,0,P,한스킨,비비,커버,좋습니다,만족,8.49,6.33,6.0,5.42,4.96
N,P07,S01,14760725899,1,P,생각보다 양이 너무 적은듯해요,상품 품질이 좋습니다,색도 예쁘고 만족합니다,늘 쓰던 제품이라 선택했어요,좋아욤 사은품 촉촉립스틱 휴대용으로 갖고 다니기 좋은 비비 까지 촉촉하고 커버력은 자연스러워서 저한테는 좋아요,,,,,
N,P07,S01,14760725899,0,N,커버력,비비,아쉽네요,생각보다,발림성,2.05,1.92,1.89,1.78,1.64
N,P07,S01,14760725899,1,N,다른분들 리뷰처럼 크기가 작아용  색은 딱 좋습니당 대충바르고 찍은사진 적당히 펴바르고 찍은 사진인데 후레시 터트려도 자연스럽게 결이 살아서 너무 고급지고 조아용,다크닝이좀있네요,좀더 저렴하게 구입할수 있었는데 장바구니 담아 두고 주문하려니 삼십분만에 가격이 올라서  안타까워 하며 주문했네요,좋다는 후기보고 주문했는데 별로예요,쓰던거라 배송 빠르고 좋아요,,,,,
N,P05,S07,12804527157,0,P,색상,들어요,예뻐요,색이,발림성,9.26,8.59,8.19,5.57,5.43
N,P05,S07,12804527157,1,P,우여곡절이 있었지만 잘 받았습니다,색도 예뻐요,벨벳립틴트 모으는중인데 잘발리고 하나같이 다 예쁘고 입술도 편해서  싸게잘삿어용,벨벳 립 틴트 처음,원래 쓰던거 싸게 샀어요,,,,,
N,P05,S07,12804527157,0,N,색상이,색이,발림성,지속력이,들어요,2.95,2.79,1.93,1.71,1.56
N,P05,S07,12804527157,1,N,색상은맘에드는데 잘묻어나고 마스크에 너무묻어서 지금 시국에 사용하긴 불편하네요,벨벳은 지속력은 아쉽지만 이런 발림성과 컬러를 따라올 수가 없네요,제품은 맘에들지만 배송이 늦어버렸어요,오프라인에선 찾기 힘들었는데 온라인에서 구해서 좋아요,너무 이뿌네요,,,,,
N,P07,S01,14077590839,0,P,좋습니다,감사합니다,사용하,바닐라코,빠르,2.41,1.63,1.35,0.95,0.87
N,P07,S01,14077590839,1,P,여름에 하나만 바르기에 좋습니다,바닐라코 제품이 대체로 저한테 잘 맞는듯 해요,바닐라코 씨씨크림 좋아요,좋아요,피부가 답답한걸 싫어해서 파운데이션도 안바르는데 썬크림도 따로 바를 필요없이 톤보정이랑 약간의 커버까지 돼서 넘 조아여 다음에도 또 살게요,,,,,
N,P07,S01,14077590839,0,N,좋아,,,,,1.0,,,,
N,P07,S01,14077590839,1,N,조아요,만족합니다,두통째 쓰는건데 대게 좋아요,그것 생각하고 발랐다가 완전 두꺼워짐 그래도 백탁 없이 좋아오,,,,,,
N,P06,S26,22509241668,0,P,감사합니다,저렴하게,좋습니다,만족합니다,있어요,9.61,6.11,5.4,5.12,2.6
N,P06,S26,22509241668,1,P,항상 믿고 쓰는 키스미 히로인 아이라이너입니다,다른 아이라이너에 비해 번짐이 덜하고 또렷해서 좋습니다,잘받았어요,늘 쓰던건데 저렴하게 잘 구매했네요,계속 전 이것만써요안번지고 좋아요,,,,,
N,P06,S26,22509241668,0,N,없어요,안번지고,브라운,번지,원플원,2.13,1.49,1.43,1.35,1.1
N,P06,S26,22509241668,1,N,발색도 진하구 이만한게 없어요,대체품을 찾으려해도 이만한게 없네요,웬만하면 안쓰고싶은데 대체품이 마땅치않네요,행사 제품으로 함께 온 눈썹그리기는 리퀴드색이 넘 흐려서 잘 못써요,배송 짱 빱니다,,,,,
N,P10,S31,22590590664,0,P,저렴하게,만족,윤조,좋습니다,촉촉,7.46,7.18,7.06,5.67,4.92
N,P10,S31,22590590664,1,P,완전 배송 빨라요지난번 써보고 좋아서 재구매 합니다,떨어지면 안돼는 에센스 입니다빠른 배송 고마워요,퍼스트세럼중에는 최고인듯,굿굿굿 좋아요,좋아요,,,,,
N,P10,S31,22590590664,0,N,배송도,엄마가,촉촉,좋아,말이,2.37,2.33,1.94,1.94,1.89
N,P10,S31,22590590664,1,N,이 제품은 평소에도 쓰던거라서 방송중 착한가격에 바로 구매했습니다,배송도 깔끔해요,헉  오래기다림배송이 밀린거 같은데 오래걸리니 기분이 막좋진 않았어요생선이었는데  그게 아쉽네요설화수 좋은건 말해 뭐해요,엄마 선물로 드렸는데 너무 좋아하세요,엄마가  항상 쓰시는 제품인데  가격대가  있는 제품이라  아껴쓰시길래   아껴쓰지 마시라고  저렴한  가격에 판매하는걸 얼른 질렀네요,,,,,
N,P07,S01,13945551239,0,P,커버력,섞어,비비,만족,좋습니다,7.52,5.98,5.26,5.15,5.05
N,P07,S01,13945551239,1,P,좋아요,잘받았어요,추천합니다,유지력으 아직 모르겟지만 만족해여,싸고좋아요,,,,,
N,P07,S01,13945551239,0,N,에스티로더,좋은데,아쉽네요,비비,생각보다,1.74,1.59,1.58,1.51,1.35
N,P07,S01,13945551239,1,N,남자입니다,화장했을땐 너무좋은데 무너질때 안이쁜게흠이에요,아주 괜찮아요,색상이 좀 어두워요,저는 피부에 안맞네요,,,,,
N,P08,S47,9189323907,0,P,향이,포장도,향도,만족,향수,19.23,9.46,7.14,6.89,6.16
N,P08,S47,9189323907,1,P,싸게 잘사서 너무 좋아요,선물포장지랑 쇼핑백도 잘 동봉되어 왔습니다,너무 좋아요,향이좋아요,마음에 들어요바이레도를 좋아하는 매니아로서다시 블랑쉬를 주문했습니다 라튤립향도아주좋아하지만블랑쉬도 너무너무너무   좋아학니다,,,,,
N,P08,S47,9189323907,0,N,향이,향은,지속력이,향수,포장도,8.16,4.14,2.48,2.38,2.14
N,P08,S47,9189323907,1,N,맨날 카피만 쓰다가 정품 사봤는데 지속시간은 확실히 차이가나네요,조그마한 공병에 넣어서 갖고다니면서 틈틈히 뿌리는게 좋을 거 같아요,그런데 오고나서 보니까 쇼핑백도 좋은데 향수 들어있는 상자도 정말 비닐 그대로 왔더라고요 조금 기대 이상이라 더 맘에 들었어요한 달 후 리뷰 쓰게 되면 향이나 제품 파손 상태 등 확인해볼게용일단 감사히 잘 받았습니다,배송이 엄청 빠르니깐 조심하세요,첫향이 좀 머리아플정도인데 잔향을 느끼기도 전에 향이 다 사라짐 진짜이런 지속력 개똥인 향수는 처음인듯,,,,,
N,P05,S06,12061936096,0,P,버츠비,저렴하게,향도,립밤,촉촉,10.71,7.97,6.99,5.62,5.43
N,P05,S06,12061936096,1,P,자몽이 최고,가격대비 보습 좋고향도 좋아요,버츠비만 쭉 쓰고 있습니다,늘 빠른배송에 착한가격  일년동안 다섯 여섯번은 주문한듯 싶네요,좋아요,,,,,
N,P05,S06,12061936096,0,N,버츠비,냄새가,입술,촉촉,배송도,2.99,2.14,2.1,1.85,1.61
N,P05,S06,12061936096,1,N,기다리느라 입술 찢어질뻔,좋아요,버츠비없음,근 5년 동안 꾸준히 이 제품만 사용하고 있습니다이렇게 싸게 살 줄 알았으면 진작 이렇게 구매할 걸 그랬군요,늘 쓴던거라 너무좋아요,,,,,
N,P07,S01,15005024613,0,P,커버력,만족,좋습니다,닥터자르트,비비,4.13,4.04,3.76,3.34,3.1
N,P07,S01,15005024613,1,P,예전에 사용할때도 만족했던 제품 쿠션으로 몇년동안 바꿔 사용하며 잊고 있었는데 쿠션은 정착할것을 찾지못하고대부분 번들거림 다시 구매해 사용해보았더니 내가 원한건 이거였음,크림을 좀 섞어 발아야 그나마색깔도 넘 회색이라,잘사용하고 있습니다,써보았는데 밀착력은 그다지이고 크림자체가 어두워서 걱정했는데 바르니까 밝은 색이고 아주 오래 지속되고 좋네요,리뷰가 좋아서 구매했어요,,,,,
N,P07,S01,15005024613,0,N,아쉽네요,저렴,커버력,비비,닥터자르트,2.13,1.94,1.61,1.6,1.24
N,P07,S01,15005024613,1,N,일단냄새가 별로네요,마스크안에서 트러블안나길바라며,대만족,배송이 무척 빨랐습니다,닥터자르트 실버비비가 리뉴얼되면서 색이 하나 더 늘었더라구요,,,,,
N,P07,S01,13165246468,0,P,비비,배송도,써보고,감사합니다,커버,4.37,4.03,3.29,3.2,3.1
N,P07,S01,13165246468,1,P,사용해보는데지속력 커버력 다 좋으네요,커버력이 엄청 뛰어나진 않지만 이거 바르고 그 위에 다른 커버력 제품을 바르기 전에 재생비비로 딱입니다,이거 진짜 조아요,재구매예요,피부과근무중인데 직거래가 안되서 온라인구매했네요,,,,,
N,P07,S01,13165246468,0,N,아껴,비싸져서,써야겠어요자꾸,커버력,촉촉,3.86,2.69,1.67,1.1,1.01
N,P07,S01,13165246468,1,N,이 비비 최소 7통 이상 쓰고 잇어요,죠으네요,리뷰작성합니다,피부 예민해서 다른건못쓰고 이것만써요커버력도 좋고 촉촉해요,유분기 많은 피부라 시간지나면 기름지는건 어쩔 수 없지만 그래도 다른 것보단 기름지는게 덜 해요,,,,,
N,P07,S01,12139286236,0,P,발림성,커버,감사합니다,비비,만족합니다,3.3,3.21,2.85,2.5,2.42
N,P07,S01,12139286236,1,P,비비크림중 가격대비 최고 성분도 좋굸,커버력 좋고 덧발라도 뭉치지 않아요,발림성 좋아요,쓰던 제품 저렴하게 잘사서 좋아요,비비크림 너무 좋아요,,,,,
N,P07,S01,12139286236,0,N,커버력,비비,,,,1.99,1.26,,,
